"REF_DATE","GEO","DGUID","Level of study","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Nova Scotia","2016A000212","Doctorate","Median age at graduation","Years","308","units","0","v90470036","4.4.4","32","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470037","4.4.5","","..","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470038","4.4.6","","x","","","0"
"2000","New Brunswick","2016A000213","College","Number of graduates","Number","223","units","0","v90470039","5.1.1","2600","","","","0"
"2000","New Brunswick","2016A000213","College","Women+","Percent","239","units","0","v90470040","5.1.2","45","","","","0"
"2000","New Brunswick","2016A000213","College","Average age at graduation","Years","308","units","0","v90470041","5.1.3","25","","","","0"
"2000","New Brunswick","2016A000213","College","Median age at graduation","Years","308","units","0","v90470042","5.1.4","22","","","","0"
"2000","New Brunswick","2016A000213","College","Under age 25 at graduation","Percent","239","units","0","v90470043","5.1.5","66","","","","0"
"2000","New Brunswick","2016A000213","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470044","5.1.6","16","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Number of graduates","Number","223","units","0","v90470045","5.2.1","3200","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Women+","Percent","239","units","0","v90470046","5.2.2","62","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Average age at graduation","Years","308","units","0","v90470047","5.2.3","25","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Median age at graduation","Years","308","units","0","v90470048","5.2.4","23","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90470049","5.2.5","74","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470050","5.2.6","36","","","","0"
"2000","New Brunswick","2016A000213","Master's","Number of graduates","Number","223","units","0","v90470051","5.3.1","400","","","","0"
"2000","New Brunswick","2016A000213","Master's","Women+","Percent","239","units","0","v90470052","5.3.2","53","","","","0"
"2000","New Brunswick","2016A000213","Master's","Average age at graduation","Years","308","units","0","v90470053","5.3.3","33","","","","0"
"2000","New Brunswick","2016A000213","Master's","Median age at graduation","Years","308","units","0","v90470054","5.3.4","30","","","","0"
"2000","New Brunswick","2016A000213","Master's","Under age 25 at graduation","Percent","239","units","0","v90470055","5.3.5","13","","","","0"
"2000","New Brunswick","2016A000213","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470056","5.3.6","20","","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Number of graduates","Number","223","units","0","v90470057","5.4.1","0","","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Women+","Percent","239","units","0","v90470058","5.4.2","24","E","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Average age at graduation","Years","308","units","0","v90470059","5.4.3","36","","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Median age at graduation","Years","308","units","0","v90470060","5.4.4","37","","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470061","5.4.5","","..","","","0"
