"REF_DATE","GEO","DGUID","Level of study","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","Master's","Men+","75th percentile","Dollars","81","units","0","v88834119","2.3.2.3","65000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Women+","25th percentile","Dollars","81","units","0","v88834120","2.3.3.1","36000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Women+","Median","Dollars","81","units","0","v88834121","2.3.3.2","48000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Women+","75th percentile","Dollars","81","units","0","v88834122","2.3.3.3","57300","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Total - Gender","25th percentile","Dollars","81","units","0","v88834123","2.4.1.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Total - Gender","Median","Dollars","81","units","0","v88834124","2.4.1.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Total - Gender","75th percentile","Dollars","81","units","0","v88834125","2.4.1.3","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Men+","25th percentile","Dollars","81","units","0","v88834126","2.4.2.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Men+","Median","Dollars","81","units","0","v88834127","2.4.2.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Men+","75th percentile","Dollars","81","units","0","v88834128","2.4.2.3","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Women+","25th percentile","Dollars","81","units","0","v88834129","2.4.3.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Women+","Median","Dollars","81","units","0","v88834130","2.4.3.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Women+","75th percentile","Dollars","81","units","0","v88834131","2.4.3.3","","x","","","0"
"2000","Prince Edward Island","2016A000211","College","Total - Gender","25th percentile","Dollars","81","units","0","v88834132","3.1.1.1","20800","","","","0"
"2000","Prince Edward Island","2016A000211","College","Total - Gender","Median","Dollars","81","units","0","v88834133","3.1.1.2","26000","","","","0"
"2000","Prince Edward Island","2016A000211","College","Total - Gender","75th percentile","Dollars","81","units","0","v88834134","3.1.1.3","34300","","","","0"
"2000","Prince Edward Island","2016A000211","College","Men+","25th percentile","Dollars","81","units","0","v88834135","3.1.2.1","23600","","","","0"
"2000","Prince Edward Island","2016A000211","College","Men+","Median","Dollars","81","units","0","v88834136","3.1.2.2","31200","","","","0"
"2000","Prince Edward Island","2016A000211","College","Men+","75th percentile","Dollars","81","units","0","v88834137","3.1.2.3","39000","","","","0"
"2000","Prince Edward Island","2016A000211","College","Women+","25th percentile","Dollars","81","units","0","v88834138","3.1.3.1","18700","","","","0"
"2000","Prince Edward Island","2016A000211","College","Women+","Median","Dollars","81","units","0","v88834139","3.1.3.2","22500","","","","0"
"2000","Prince Edward Island","2016A000211","College","Women+","75th percentile","Dollars","81","units","0","v88834140","3.1.3.3","30000","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Total - Gender","25th percentile","Dollars","81","units","0","v88834141","3.2.1.1","25000","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Total - Gender","Median","Dollars","81","units","0","v88834142","3.2.1.2","32500","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Total - Gender","75th percentile","Dollars","81","units","0","v88834143","3.2.1.3","42900","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Men+","25th percentile","Dollars","81","units","0","v88834144","3.2.2.1","26000","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Men+","Median","Dollars","81","units","0","v88834145","3.2.2.2","33600","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Men+","75th percentile","Dollars","81","units","0","v88834146","3.2.2.3","47400","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Women+","25th percentile","Dollars","81","units","0","v88834147","3.2.3.1","22000","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Women+","Median","Dollars","81","units","0","v88834148","3.2.3.2","32000","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Women+","75th percentile","Dollars","81","units","0","v88834149","3.2.3.3","40500","","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Total - Gender","25th percentile","Dollars","81","units","0","v88834150","3.3.1.1","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Total - Gender","Median","Dollars","81","units","0","v88834151","3.3.1.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Total - Gender","75th percentile","Dollars","81","units","0","v88834152","3.3.1.3","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Men+","25th percentile","Dollars","81","units","0","v88834153","3.3.2.1","","..","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Men+","Median","Dollars","81","units","0","v88834154","3.3.2.2","","..","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Men+","75th percentile","Dollars","81","units","0","v88834155","3.3.2.3","","..","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Women+","25th percentile","Dollars","81","units","0","v88834156","3.3.3.1","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Women+","Median","Dollars","81","units","0","v88834157","3.3.3.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","Master's","Women+","75th percentile","Dollars","81","units","0","v88834158","3.3.3.3","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Total - Gender","25th percentile","Dollars","81","units","0","v88834159","3.4.1.1","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Total - Gender","Median","Dollars","81","units","0","v88834160","3.4.1.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Total - Gender","75th percentile","Dollars","81","units","0","v88834161","3.4.1.3","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Men+","25th percentile","Dollars","81","units","0","v88834162","3.4.2.1","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Men+","Median","Dollars","81","units","0","v88834163","3.4.2.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Men+","75th percentile","Dollars","81","units","0","v88834164","3.4.2.3","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Women+","25th percentile","Dollars","81","units","0","v88834165","3.4.3.1","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Women+","Median","Dollars","81","units","0","v88834166","3.4.3.2","","x","","","0"
"2000","Prince Edward Island","2016A000211","Doctorate","Women+","75th percentile","Dollars","81","units","0","v88834167","3.4.3.3","","x","","","0"
"2000","Nova Scotia","2016A000212","College","Total - Gender","25th percentile","Dollars","81","units","0","v88834168","4.1.1.1","18700","","","","0"
"2000","Nova Scotia","2016A000212","College","Total - Gender","Median","Dollars","81","units","0","v88834169","4.1.1.2","24000","","","","0"
"2000","Nova Scotia","2016A000212","College","Total - Gender","75th percentile","Dollars","81","units","0","v88834170","4.1.1.3","31700","","","","0"
"2000","Nova Scotia","2016A000212","College","Men+","25th percentile","Dollars","81","units","0","v88834171","4.1.2.1","21800","","","","0"
"2000","Nova Scotia","2016A000212","College","Men+","Median","Dollars","81","units","0","v88834172","4.1.2.2","29100","","","","0"
"2000","Nova Scotia","2016A000212","College","Men+","75th percentile","Dollars","81","units","0","v88834173","4.1.2.3","36700","","","","0"
"2000","Nova Scotia","2016A000212","College","Women+","25th percentile","Dollars","81","units","0","v88834174","4.1.3.1","17200","","","","0"
"2000","Nova Scotia","2016A000212","College","Women+","Median","Dollars","81","units","0","v88834175","4.1.3.2","21200","","","","0"
"2000","Nova Scotia","2016A000212","College","Women+","75th percentile","Dollars","81","units","0","v88834176","4.1.3.3","26000","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Total - Gender","25th percentile","Dollars","81","units","0","v88834177","4.2.1.1","26000","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Total - Gender","Median","Dollars","81","units","0","v88834178","4.2.1.2","37300","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Total - Gender","75th percentile","Dollars","81","units","0","v88834179","4.2.1.3","49200","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Men+","25th percentile","Dollars","81","units","0","v88834180","4.2.2.1","30000","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Men+","Median","Dollars","81","units","0","v88834181","4.2.2.2","40000","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Men+","75th percentile","Dollars","81","units","0","v88834182","4.2.2.3","55000","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Women+","25th percentile","Dollars","81","units","0","v88834183","4.2.3.1","23500","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Women+","Median","Dollars","81","units","0","v88834184","4.2.3.2","34500","","","","0"
"2000","Nova Scotia","2016A000212","Bachelor's","Women+","75th percentile","Dollars","81","units","0","v88834185","4.2.3.3","46200","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Total - Gender","25th percentile","Dollars","81","units","0","v88834186","4.3.1.1","40000","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Total - Gender","Median","Dollars","81","units","0","v88834187","4.3.1.2","52000","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Total - Gender","75th percentile","Dollars","81","units","0","v88834188","4.3.1.3","61000","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Men+","25th percentile","Dollars","81","units","0","v88834189","4.3.2.1","41000","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Men+","Median","Dollars","81","units","0","v88834190","4.3.2.2","53000","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Men+","75th percentile","Dollars","81","units","0","v88834191","4.3.2.3","62400","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Women+","25th percentile","Dollars","81","units","0","v88834192","4.3.3.1","40000","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Women+","Median","Dollars","81","units","0","v88834193","4.3.3.2","50800","","","","0"
"2000","Nova Scotia","2016A000212","Master's","Women+","75th percentile","Dollars","81","units","0","v88834194","4.3.3.3","60000","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Total - Gender","25th percentile","Dollars","81","units","0","v88834195","4.4.1.1","36000","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Total - Gender","Median","Dollars","81","units","0","v88834196","4.4.1.2","52000","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Total - Gender","75th percentile","Dollars","81","units","0","v88834197","4.4.1.3","62000","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Men+","25th percentile","Dollars","81","units","0","v88834198","4.4.2.1","","x","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Men+","Median","Dollars","81","units","0","v88834199","4.4.2.2","52000","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Men+","75th percentile","Dollars","81","units","0","v88834200","4.4.2.3","","x","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Women+","25th percentile","Dollars","81","units","0","v88834201","4.4.3.1","","x","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Women+","Median","Dollars","81","units","0","v88834202","4.4.3.2","57900","","","","0"
"2000","Nova Scotia","2016A000212","Doctorate","Women+","75th percentile","Dollars","81","units","0","v88834203","4.4.3.3","","x","","","0"
"2000","New Brunswick","2016A000213","College","Total - Gender","25th percentile","Dollars","81","units","0","v88834204","5.1.1.1","21800","","","","0"
"2000","New Brunswick","2016A000213","College","Total - Gender","Median","Dollars","81","units","0","v88834205","5.1.1.2","27000","","","","0"
"2000","New Brunswick","2016A000213","College","Total - Gender","75th percentile","Dollars","81","units","0","v88834206","5.1.1.3","34300","","","","0"
"2000","New Brunswick","2016A000213","College","Men+","25th percentile","Dollars","81","units","0","v88834207","5.1.2.1","24600","","","","0"
"2000","New Brunswick","2016A000213","College","Men+","Median","Dollars","81","units","0","v88834208","5.1.2.2","29400","","","","0"
"2000","New Brunswick","2016A000213","College","Men+","75th percentile","Dollars","81","units","0","v88834209","5.1.2.3","37700","","","","0"
"2000","New Brunswick","2016A000213","College","Women+","25th percentile","Dollars","81","units","0","v88834210","5.1.3.1","18700","","","","0"
"2000","New Brunswick","2016A000213","College","Women+","Median","Dollars","81","units","0","v88834211","5.1.3.2","25000","","","","0"
"2000","New Brunswick","2016A000213","College","Women+","75th percentile","Dollars","81","units","0","v88834212","5.1.3.3","30900","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Total - Gender","25th percentile","Dollars","81","units","0","v88834213","5.2.1.1","26900","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Total - Gender","Median","Dollars","81","units","0","v88834214","5.2.1.2","36000","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Total - Gender","75th percentile","Dollars","81","units","0","v88834215","5.2.1.3","47000","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Men+","25th percentile","Dollars","81","units","0","v88834216","5.2.2.1","27000","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Men+","Median","Dollars","81","units","0","v88834217","5.2.2.2","38000","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Men+","75th percentile","Dollars","81","units","0","v88834218","5.2.2.3","52000","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Women+","25th percentile","Dollars","81","units","0","v88834219","5.2.3.1","26200","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Women+","Median","Dollars","81","units","0","v88834220","5.2.3.2","34000","","","","0"
"2000","New Brunswick","2016A000213","Bachelor's","Women+","75th percentile","Dollars","81","units","0","v88834221","5.2.3.3","43300","","","","0"
"2000","New Brunswick","2016A000213","Master's","Total - Gender","25th percentile","Dollars","81","units","0","v88834222","5.3.1.1","40000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Total - Gender","Median","Dollars","81","units","0","v88834223","5.3.1.2","50000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Total - Gender","75th percentile","Dollars","81","units","0","v88834224","5.3.1.3","60000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Men+","25th percentile","Dollars","81","units","0","v88834225","5.3.2.1","45800","","","","0"
